Quadrant	Longitude	Latitude	Name	Bogennummer	Sprache
16/24	6,35877	49,85133	BOLLENDORF	15088	1
17/24	6,62928	49,90606	PREIST	15096	1
18/24	6,88064	49,90937	POHLBACH	15118	1
19/24	7,12694	49,9156	KAUTENBACH	15137	1
20/24	7,40287	49,94174	KIRCHBERG (HUNSRÜCK)	15334	1
21/24	7,64098	49,98645	ELLERN (HUNSRÜCK)	15349	1
71/55	21,39751921	55,00008085	HEIDLAUKEN (BUGORKI)	1536	1
22/24	7,89616	49,96901	BINGEN AM RHEIN	15365	1
23/24	8,1754	49,98368	FINTHEN	15394	1
72/55	21,69458052	55,04244719	HEINRICHSWALDE	1540	1
46/28	14,08782256	50,79454917	SCHNEEBERG (SNￄﾚￅﾽNￃﾍK)	15418	1
44/27	13,57030177	50,62249964	ZETTEL (SEDLO)	15503	1
73/55	21,99049945	55,02117866	PAZUIZEN	1552	1
45/27	13,86383504	50,62849859	WISTERSCHAN (BYSTￅﾘANY)	15538	1
46/27	14,12005467	50,63121237	MALSCHEN (MALEￄﾌOV)	15550	1
46/26	14,08715095	50,50156837	LUKAWETZ (LUKAVEC)	15638	1
74/55	22,25700873	55,00557634	GIERVER LAUKEN	1565	1
49/26	14,78356188	50,53120776	NEUDORF (VRCHBￄﾚLA)	15681	1
48/26	14,60808505	50,45343095	GASTORF (HOￅﾠTKA)	15685	1
47/26	14,37491447	50,45239746	WEGSTￃﾄDTL (ￅﾠTￄﾚTￃﾍ)	15690	1
75/56	22,59096608	55,07130157	SCHMALLENINGKEN	1571	1
47/29	14,36367041	50,96533327	NIXDORF (MIKULￃﾁￅﾠOVICE)	15725	1
66/54	19,96594881	54,93887292	GROￃﾟ DIRSCHKEIM (DONSKOYE)	1573	1
50/29	15,17855469	50,94940265	RￃﾜCKERSDORF (DOLNￃﾍ ￅﾘASNICE)	15751	1
67/54	20,25705523	54,95056245	RANTAU (ZAOSTROV'YE)	1578	1
53/46	16,09538	53,76262	POLCZYN-ZDROJ	158	1
68/54	20,51939251	54,91991342	SCHULSTEIN (VOL'NOE)	1580	1
