Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Active-intransitive	Active-intransitive-causative	Causative	Causative with Active-intransitive	Causative with Passive	Causative with Reflexive	Control transitive	Indirective applicative	Indirective applicative with Passive	Lexical suffix with Middle	Middle	Middle with Causative	Middle with Indirective applicative	Middle with Relational applicative	Noncontrol transitive	Passive	Relational applicative	Relational applicative with Passive	Unsuffixed
Sliammon	48	CLIMB	šaʔ	98, 222, 223	V.sbj[1] 1 obl-2	Never	No data	Regularly	No data	No data	No data	Never	Never	No data	No data	Marginally	No data	No data	No data	No data	No data	Regularly	No data	Never
Sliammon	49	RUN	ǰəƛʼ	111, 173, 174, 175, 177	V.sbj[1] 1	Never	No data	Regularly	No data	No data	No data	Never	Regularly	No data	No data	No data	No data	No data	No data	Regularly	No data	Regularly	No data	Never
Sliammon	50	SIT	kʷanač	96, 97, 224, 225, 226	V.sbj[1] 1 obl-2	Never	No data	Regularly	No data	No data	No data	Regularly	No data	No data	No data	Regularly	No data	No data	No data	Regularly	No data	Regularly	Regularly	Never
Sliammon	51	SIT DOWN	kʷanač-əm	96, 97, 224, 225, 226	V.sbj[1] 1	Never	No data	Regularly	No data	No data	No data	Regularly	No data	No data	No data	Never	No data	No data	No data	Regularly	No data	Regularly	No data	Regularly
Sliammon	52	JUMP	kʼʷitʼᶿ-im	6, 7	V.sbj[1] 1	Never	Never	No data	No data	No data	No data	Never	No data	No data	No data	Never	Regularly	No data	Regularly	No data	No data	No data	No data	Never
Sliammon	53	SING	qaqsamʼuθinʼ-əm	34, 35	V.sbj[1] 1	No data	No data	No data	No data	No data	No data	Never	Regularly	No data	No data	Never	No data	No data	No data	No data	No data	No data	No data	Never
Sliammon	53	SING	wuw-um	36, 37, 38	V.sbj[1] 1	No data	No data	No data	No data	No data	No data	Never	Regularly	No data	No data	Never	Regularly	No data	No data	No data	No data	No data	No data	Never
Sliammon	54	GO	hu	8, 132, 167, 168, 169, 170	V.sbj[1] 1	Never	No data	Regularly	Regularly	No data	No data	Never	No data	No data	No data	Never	No data	No data	No data	Never	No data	Regularly	Regularly	Never
Sliammon	55	LEAVE	ɬaw-š	39	V.obj[1].sbj[2] 1	Never	No data	Never	No data	No data	No data	Never	Regularly	No data	No data	Never	No data	No data	No data	Regularly	Regularly	No data	No data	Never
Sliammon	56	LIVE	no verbal counterpart		N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Sliammon	57	LAUGH	qəs-əm	123, 124	V.sbj[1] 1	No data	No data	No data	No data	No data	No data	Never	No data	No data	No data	Never	No data	No data	No data	No data	No data	Regularly	No data	Never
Sliammon	58	SCREAM	tʼᶿikʼt	99, 100, 202	V.sbj[1] 1	No data	No data	Never	No data	No data	No data	No data	No data	No data	No data	Never	No data	No data	No data	Regularly	No data	Regularly	No data	Never
Sliammon	59	FEEL PAIN	ʔah	33, 227, 239	V.sbj[1] 1	Never	No data	Marginally	No data	No data	No data	Never	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	Never
Sliammon	60	FEEL COLD	čʼaʔ-čʼəm	105, 238	V.sbj[1] 1	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	Regularly	No data	No data	No data	Regularly	No data	No data	No data	Never
Sliammon	61	DIE	qəyʼ	119, 136, 137, 228, 229, 230, 231, 232	V.sbj[1] 1	Regularly	Regularly	Regularly	No data	No data	No data	Regularly	Regularly	No data	No data	No data	No data	No data	No data	Regularly	Regularly	No data	No data	Never
Sliammon	62	PLAY	qaqs-imʼ	121, 122, 124	V.sbj[1] 1	No data	No data	Marginally	No data	No data	No data	No data	No data	No data	No data	Never	No data	No data	No data	No data	No data	No data	No data	Never
Sliammon	63	BE SAD	ʔah qʷayigən-s	106	V.sbj[1] 1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Never
