Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Caused Motion Alternation	Goal Alternation - Prepositional (ʾilâ+ 'to') / Accusative Object	Locative Alternation 1	Locative Alternation 2	Locative Alternation 3	Object Adding Alternation	Object Omission Alternation	Prepositional (bi+) / Accusative object Alternation	Prepositional (min 'from') / Accusative Object Alternation	Stem II Causative	Stem IV Causative	Stem V Anticausative	Stem V Reflexive	Stem VI Passive	Stem VI Reciprocal	Stem VI Reflexive	Stem VII Anticausative	Stem VII Passive	Stem VIII Anticausative	Stem VIII Reciprocal	Stem VIII Reflexive	Stem X Causative	Theme / Recipient Alternation - Prepositional (li+ 'to') / Accusative Object	Theme / Source Alternation - Prepositional (min+ 'from') Accusative Object
Modern Standard Arabic	26	KILL	qatala	11, 68, 69, 70, 71, 212	V.subj[1] 1-nom 2-acc (bi+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Modern Standard Arabic	27	BEAT	ḍaraba	72, 73, 215	V.subj[1] 1-nom 2-acc (bi+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Modern Standard Arabic	28	HIT	laṭama	74, 75, 76	V.subj[1] 1-nom 2-acc (bi+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Modern Standard Arabic	28	HIT	ḍaraba	72, 73, 215	V.subj[1] 1-nom 2-acc (bi+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Modern Standard Arabic	29	TOUCH	lamasa	77, 78, 79	V.subj[1] 1-nom 2-acc (bi+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	30	CUT	qaṭaʿa	80, 81, 82, 83, 205, 213	V.subj[1] 1-nom 2-acc (bi+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Never	Never	Never	No data	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	31	TAKE	ʾaḫad̠a	194	V.subj[1] 1-nom 2-acc (min+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	32	TEAR	nazaʿa	84, 195	V.subj[1] 1-nom 2-acc (min+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	No data	Never	Never	Never	Never	No data	Never	Never	Never
Modern Standard Arabic	33	PEEL	qaššara	196, 197, 198	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	34	HIDE	ʾaḫfâ	85, 199, 200	V.subj[1] 1-nom 2-acc ʿalâ+3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Never	Never
