Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
English	40	TIE	tie	Basic	1-nom > V.subj[1] > 2-acc > LOC3 (> with+4)	4	tying instrument	with+NP	I
English	41	PUT	put	Basic	1-nom > V.subj[1] > 2-acc > LOC3	1	putter	NP-nom V.subj	A
English	41	PUT	put	Basic	1-nom > V.subj[1] > 2-acc > LOC3	2	put thing	NP-acc	P
English	41	PUT	put	Basic	1-nom > V.subj[1] > 2-acc > LOC3	3	putting goal	LOC	L
English	42	POUR	pour	Basic	1-nom > V.subj[1] > 2-acc > LOC3	1	pourer	NP-nom V.subj	A
English	42	POUR	pour	Basic	1-nom > V.subj[1] > 2-acc > LOC3	2	poured substance	NP-acc	P
English	42	POUR	pour	Basic	1-nom > V.subj[1] > 2-acc > LOC3	3	pouring goal	LOC	L
English	43	COVER	cover	Basic	1-nom > V.subj[1] > 2-acc (> with+3)	1	coverer	NP-nom V.subj	A
English	43	COVER	cover	Basic	1-nom > V.subj[1] > 2-acc (> with+3)	2	covered thing	NP-acc	P
English	43	COVER	cover	Basic	1-nom > V.subj[1] > 2-acc (> with+3)	3	cover	with+NP	I
English	44	FILL	fill	Basic	1-nom > V.subj[1] > 2-acc (> with+3)	1	filler	NP-nom V.subj	A
English	44	FILL	fill	Basic	1-nom > V.subj[1] > 2-acc (> with+3)	2	filled container	NP-acc	P
English	44	FILL	fill	Basic	1-nom > V.subj[1] > 2-acc (> with+3)	3	filling material	with+NP	I
English	45	LOAD	load	Basic	1-nom > V.subj[1] > 2-acc > LOC3	1	loader	NP-nom V.subj	A
English	45	LOAD	load	Basic	1-nom > V.subj[1] > 2-acc > LOC3	2	loaded thing	NP-acc	P
English	45	LOAD	load	Basic	1-nom > V.subj[1] > 2-acc > LOC3	3	loading place	LOC	L
English	46	BLINK	blink	Basic	1-nom > V.subj[1]	1	blinker	NP-nom V.subj	S
English	47	COUGH	cough	Basic	1-nom > V.subj[1]	1	cougher	NP-nom V.subj	S
English	48	CLIMB	climb	Basic	1-nom > V.subj[1] > LOC2	1	climber	NP-nom V.subj	S
English	48	CLIMB	climb	Basic	1-nom > V.subj[1] > LOC2	2	climbing goal	LOC	L
English	49	RUN	run	Basic	1-nom > V.subj[1]	1	runner	NP-nom V.subj	S
English	50	SIT	sit	Basic	1-nom > V.subj[1] > LOC2	1	sitter	NP-nom V.subj	S
English	50	SIT	sit	Basic	1-nom > V.subj[1] > LOC2	2	sitting place	LOC	L
English	51	SIT DOWN	sit down	Basic	1-nom > V.subj[1]	1	sitdowner	NP-nom V.subj	S
English	52	JUMP	jump	Basic	1-nom > V.subj[1]	1	jumper	NP-nom V.subj	S
English	53	SING	sing	Basic	1-nom > V.subj[1]	1	singer	NP-nom V.subj	S
English	54	GO	go	Basic	1-nom > V.subj[1] > LOC2	1	goer	NP-nom V.subj	S
English	54	GO	go	Basic	1-nom > V.subj[1] > LOC2	2	going goal	LOC	L
English	55	LEAVE	leave	Basic	1-nom > V.subj[1] > 2-acc	1	leaver	NP-nom V.subj	A
English	55	LEAVE	leave	Basic	1-nom > V.subj[1] > 2-acc	2	left place/person	NP-acc	P
English	56	LIVE	live	Basic	1-nom > V.subj[1] > LOC2	1	liver	NP-nom V.subj	S
English	56	LIVE	live	Basic	1-nom > V.subj[1] > LOC2	2	living place	LOC	L
English	57	LAUGH	laugh	Basic	1-nom > V.subj[1]	1	laugher	NP-nom V.subj	S
English	58	SCREAM	scream	Basic	1-nom > V.subj[1]	1	screamer	NP-nom V.subj	S
English	59	FEEL PAIN	have (a) pain	Basic	1-nom > V.subj[1] > LOC2	1	pain-feeler	NP-nom V.subj	S
English	59	FEEL PAIN	have (a) pain	Basic	1-nom > V.subj[1] > LOC2	2	pain locus	LOC	L
English	59	FEEL PAIN	hurt	Basic	1-nom > V.subj[1]	1	pain locus	NP-nom V.subj	S
English	60	FEEL COLD	feel cold	Basic	1-nom > V.subj[1]	1	freezing person	NP-nom V.subj	S
English	61	DIE	die	Basic	1-nom > V.subj[1]	1	dieer	NP-nom V.subj	S
English	62	PLAY	play	Basic	1-nom > V.subj[1]	1	player	NP-nom V.subj	S
English	63	BE SAD	be sad	Basic	1-nom > V.subj[1]	1	sad person	NP-nom V.subj	S
English	63	BE SAD	feel sad	Basic	1-nom > V.subj[1]	1	sad person	NP-nom V.subj	S
English	64	BE HUNGRY	be hungry	Basic	1-nom > V.subj[1]	1	hungry person	NP-nom V.subj	S
English	64	BE HUNGRY	feel hungry	Basic	1-nom > V.subj[1]	1	hungry person	NP-nom V.subj	S
English	65	ROLL	roll	Basic	1-nom > V.subj[1] > LOC2	1	rolling entity	NP-nom V.subj	S
English	65	ROLL	roll	Basic	1-nom > V.subj[1] > LOC2	2	rolling location	LOC	L
English	66	SINK	sink	Basic	1-nom > V.subj[1]	1	sunken entity	NP-nom V.subj	S
English	67	BURN	burn	Basic	1-nom > V.subj[1]	1	burnt thing	NP-nom V.subj	S
English	68	BE DRY	be dry	Basic	1-nom > V.subj[1]	1	dry thing	NP-nom V.subj	S
English	70	BE A HUNTER	be a hunter	Basic	1-nom > V.subj[1]	1	specialist/hunter	NP-nom V.subj	S
English	71	GRIND	grind	Basic	1-nom > V.subj[1] > 2-acc (> with+3)	1	grinder	NP-nom V.subj	A
English	71	GRIND	grind	Basic	1-nom > V.subj[1] > 2-acc (> with+3)	2	ground thing	NP-acc	P
English	71	GRIND	grind	Basic	1-nom > V.subj[1] > 2-acc (> with+3)	3	grinding instrument	with+NP	I
English	72	WIPE	wipe	Basic	1-nom > V.subj[1] > 2-acc > LOC3	1	wiper	NP-nom V.subj	A
English	72	WIPE	wipe	Basic	1-nom > V.subj[1] > 2-acc > LOC3	2	wiped material	NP-acc	P
English	72	WIPE	wipe	Basic	1-nom > V.subj[1] > 2-acc > LOC3	3	wiping surface	LOC	L
English	73	DIG	dig	Basic	1-nom > V.subj[1]	1	digger	NP-nom V.subj	S
English	74	PUSH	push	Basic	1-nom > V.subj[1] > 2-acc > LOC3	1	pusher	NP-nom V.subj	A
English	74	PUSH	push	Basic	1-nom > V.subj[1] > 2-acc > LOC3	2	pushee	NP-acc	P
English	74	PUSH	push	Basic	1-nom > V.subj[1] > 2-acc > LOC3	3	pushing goal	LOC	L
English	75	BRING	bring	Basic	1-nom > V.subj[1] > 2-acc (> to+3)	1	bringer	NP-nom V.subj	A
English	75	BRING	bring	Basic	1-nom > V.subj[1] > 2-acc (> to+3)	2	brought thing	NP-acc	P
