Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Fi alternation	Fi/ní alternation	Inchoative-causative	Ní/fi alternation	Oblique-dropping	Possessive alternation	Preposition-dropping	Recipient-dropping alternation	Symmetrical alternation	Theme-dropping alternation
Yorùbá	53	SING	ko̩rin	119, 181, 182	1 V	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never
Yorùbá	54	GO	lo̩	120, 178	1 V sí+2	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never
Yorùbá	55	LEAVE	fi...sílè̩	121	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	56	LIVE	gbé (2)	122	1 V ní+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	57	LAUGH	ré̩rìín	123	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	58	SCREAM	ho̩n	124	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	59	FEEL PAIN													
Yorùbá	60	FEEL COLD	móòtútù	125, 126	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never
Yorùbá	61	DIE	kú	127	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	62	PLAY	s̩eré	128	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	63	BE SAD	banújé̩	129, 130	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never
Yorùbá	64	BE HUNGRY	pebi	131, 132	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never
Yorùbá	65	ROLL	yí	133, 134	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	66	SINK	rì (2)	135	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	67	BURN	jó	136, 137	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	68	BE DRY	gbe̩ (3)	138	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	69	RAIN	rò̩jò	139, 140	V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	70	BE A HUNTER													
Yorùbá	71	GRIND	lò̩ (2)	141, 142	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	72	WIPE	nù	143	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	73	DIG	gbé̩	144	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	74	PUSH	tì	145, 146	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	75	BRING	mú...wá	147, 148	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	76	STEAL	jí	149, 150	1 V 2	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never
Yorùbá	77	TEACH	kó̩ (2)	151, 152	1 V 2 ní+3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly
Yorùbá	78	HEAR	gbó̩	153	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	79	COOK	sè	154, 156, 157	1 V 2	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Yorùbá	79	COOK	dáná	155	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	80	BOIL	hó	158	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
