Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Causative with instrument causee	Causative with Theme causee	Locative alternation (argument adding)	Locative alternation (argument rearanging)	Locative alternation (oblique to object)	Passive -a alternation	Passive ka- alternation	Resultative ma- alternation
Balinese	42	POUR	nuruhang	42, 96, 144, 190, 216	1 V 2 ke+3	Never	Never	No data	Regularly	No data	Regularly	Regularly	Regularly
Balinese	43	COVER	ngerurub	43, 97, 145, 191, 217	1 V 2 aji+3	No data	No data	No data	No data	No data	Regularly	Regularly	Regularly
Balinese	44	FILL	ngisinin	44, 75, 146, 192, 218	1 V 2 aji+3	Regularly	No data	Never	Never	Never	Regularly	Regularly	Regularly
Balinese	45	LOAD	menekang	45, 98, 147, 194	1 V 2 ke+3	Never	Never	No data	Regularly	No data	Regularly	Regularly	Never
Balinese	46	BLINK	ngedipang mata	46, 193	1 V	Never	Never	Never	Never	Never	Never	Regularly	Never
Balinese	47	COUGH	makokohan	47	1 V	Never	Never	Never	Never	Never	Never	Never	Never
Balinese	48	CLIMB	menekin	48, 76, 98, 148, 195	1 V 2	No data	Regularly	Never	Never	Never	Regularly	Regularly	Never
Balinese	49	RUN	malaib	49, 99	1 V	Never	Never	Regularly	No data	No data	Never	Never	Never
Balinese	50	SIT	negak	50, 77, 78, 100, 101	1 V di+2	No data	Regularly	No data	No data	Regularly	Never	Never	Never
Balinese	51	SIT DOWN	negak	50, 77, 78, 100, 101	1 V di+2	No data	Regularly	No data	No data	Regularly	Never	Never	Never
Balinese	52	JUMP	makejog	51, 79	1 V	No data	Marginally	No data	No data	No data	Never	Never	Never
Balinese	53	SING	magending	52	1 V	Never	Never	Never	Never	Never	Never	Never	Never
Balinese	54	GO	luas	53	1 V ke+2	Never	Never	Never	Never	Never	Never	Never	Never
Balinese	55	LEAVE	ngalahin	54, 80, 115, 149, 160, 196	1 V 2	No data	No data	Never	Never	No data	Regularly	Regularly	Never
Balinese	56	LIVE	nongos	55, 81, 102	1 V di+2	No data	Regularly	No data	No data	Regularly	Never	Never	Never
Balinese	57	LAUGH	kedek	56, 103	1 V	Never	Never	Regularly	No data	No data	Never	Never	Never
Balinese	58	SCREAM	makraik	57	1 V	Never	Never	Never	Never	Never	Never	Never	Never
Balinese	59	FEEL PAIN	nyakitang	58, 197	1 V 2	Never	Never	Never	Never	Never	Never	Regularly	Never
Balinese	60	FEEL COLD	dingin	59, 82	1 V	No data	Regularly	Never	Never	Never	Never	Never	Never
Balinese	61	DIE	mati	60, 83, 219	1 V	No data	Regularly	Never	Never	Never	Never	Never	Never
Balinese	62	PLAY	macanada	61	1 V	Never	Never	Never	Never	Never	Never	Never	Never
Balinese	63	BE SAD	sebet	62	1 V	Never	Never	Never	Never	Never	Never	Never	Never
Balinese	64	BE HUNGRY	seduk	63	1 V	No data	Never	Never	Never	Never	Never	Never	Never
Balinese	65	ROLL	ngelilik	64, 84, 104	1 V	No data	Regularly	Never	No data	No data	Never	Never	Never
Balinese	66	SINK	nyilem	65, 85	1 V	No data	Regularly	Never	Never	Never	Never	Never	Never
Balinese	67	BURN	puun	66, 86	1 V	Never	Regularly	Never	Never	Never	Never	Never	Never
Balinese	68	BE DRY	tuh	67, 87	1 V	Never	Regularly	Never	Never	Never	Never	Never	Never
Balinese	69	RAIN	ujan	68	V	No data	Never	Never	Never	Never	Never	Never	Never
Balinese	70	BE A HUNTER	tukangboros	69	1 V	Never	Never	Never	Never	Never	Never	Never	Never
Balinese	71	GRIND											
Balinese	72	WIPE											
Balinese	73	DIG											
Balinese	74	PUSH											
Balinese	75	BRING											
Balinese	76	STEAL											
Balinese	77	TEACH											
Balinese	78	HEAR											
Balinese	79	COOK											
Balinese	80	BOIL											
