Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Accidental/Potential Intransitive Alternation	Accidental/Potential Transitive Alternation	Ambitransitive Alternation	Antipassive 1 Alternation	Antipassive 2 Alternation	Causative with -k'	Causative with -l/-ll	Causative with golal	Causative with yowal	Instrument Alternation	Object Incorporation Alternation	Potential Alternation	Potential Transitivizing Alternation	Recipient/Goal/Location Alternation 1	Recipient/Goal/Location Alternation 2
Bezhta	48	CLIMB	no verbal counterpart	63, 201, 261	N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	49	RUN	č'an yaɣal	45, 119, 279, 281, 286	1-erg V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Bezhta	49	RUN	č'änaɣal	119, 237, 280	1-erg V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	50	SIT	q'ey yecal	18, 132, 163, 263	1-abs abs[1].V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	51	SIT DOWN	q'ey yecal	18, 132, 163, 263	1-abs abs[1].V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	52	JUMP	yogic'al	65, 67, 204, 269, 270	1-abs abs[1].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Regularly	Never	Never
Bezhta	53	SING	no verbal counterpart	8, 103, 155, 205	N/A	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	54	GO	yeⁿƛ'al (1)	108, 187, 262, 287	1-abs LOC2 abs[1].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	55	LEAVE	yeⁿƛ'al (2)	43, 218, 296	1-abs 2-abl abs[1].V	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	56	LIVE	ömrö bowal	78, 224, 234	1-erg 2-iness V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	57	LAUGH	łowal	74, 134, 293	1-abs abs[1].V	Never	Never	Never	Marginally	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Bezhta	58	SCREAM	lalaƛal	29, 66, 192, 246	1-erg 2-sup V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	59	FEEL PAIN	k'ok'al	10, 35, 116, 156, 250	1-abs abs[1].V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never
Bezhta	60	FEEL COLD	yäč’ɬal	34, 144, 194	1-abs abs[1].V	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	61	DIE	yuɣal	16, 142, 161, 277	1-abs abs[1].V	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	62	PLAY	k'isal	73, 125, 264, 288	1-abs abs[1].V	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	63	BE SAD	urɣelliƛ'a yaqal	33, 193	1-abs abs[1].V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	64	BE HUNGRY	nukal	37, 170, 275	1-abs abs[1].V	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never
Bezhta	65	ROLL	k'äyƛäl	44, 112, 183, 257	1-abs abs[1].V	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never
Bezhta	66	SINK	ɣanq'iziyaqal	42, 222, 255	1-abs abs[1].V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never
Bezhta	67	BURN	yek'al	36, 104, 122, 145, 253	1-abs abs[1].V	Regularly	Never	Never	Marginally	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never
Bezhta	68	BE DRY	qoqal	79, 135, 136, 251, 297	1-abs abs[1].V	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never
Bezhta	69	RAIN	no verbal counterpart	46, 197	N/A	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	70	BE A HUNTER	no verbal counterpart	81	N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	71	GRIND	haʔal	106, 172, 173, 228, 240	1-erg 2-abs abs[2].V	Never	Regularly	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	72	WIPE	yaⁿcolal	97, 98	1-erg LOC2 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	73	DIG	yäxäl	80, 137, 138, 241	1-erg 2-abs abs[2].V	Never	Never	Never	Marginally	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	74	PUSH	zistuqlal	90, 212, 294	1-erg 2-abs abs[2].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	75	BRING	yaq'al	83, 84, 94, 208, 215	1-erg 2-lat 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Regularly
Bezhta	76	STEAL	yuⁿcal (2)	85, 96, 190, 223	1-erg 2-possabl 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	77	TEACH	małciyowal	118, 160, 238	1-erg 2-lat 3-abs abs[3].V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	78	HEAR	tuqal	54, 151	1-lat 2-abs abs[2].V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	79	COOK	helal	41, 109, 181, 182, 258, 290	1-erg 2-abs abs[2].V	Never	Regularly	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	80	BOIL	ɣayƛal	53, 110, 150, 256, 298	1-abs abs[1].V	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never
