Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Addressee li + hon insertion	Addressee vbiee insertion	Allative insertion	Ambitransitive	Applicative li insertion	Causative insertion	Distributive locative insertion (specific)	Distributive locative insertion (unspecific)	Elative insertion	External possessor alternation	Instrument insertion	Locative change of state	Locative omission	Object omission	Projected adherence insertion
Emai	53	SING	so	124, 221	1 > V > 2	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	54	GO	lodẹ	125	1>V>vbi+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	55	LEAVE	zá raalẹ	126, 127	1>V>vbi+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
Emai	55	LEAVE	shọọ re	128, 222	1>V>vbi+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
Emai	56	LIVE	dia (2)	129	1>V>vbi+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	57	LAUGH	jẹ	130, 131	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never
Emai	58	SCREAM																		
Emai	59	FEEL PAIN	to (1)	133	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	60	FEEL COLD	úììn gbe	134, 135	V>1	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	61	DIE	u	136, 223, 224, 225	1>V	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Regularly	Never	Never	Never
Emai	62	PLAY	sie	137	1>V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	62	PLAY	doo	138, 226	1>V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Emai	63	BE SAD	no direct counterpart	139	N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	64	BE HUNGRY	òhànmì gbe	140, 227	V>1	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	65	ROLL																		
Emai	66	SINK	de o	145, 270	1>V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	67	BURN																		
Emai	68	BE DRY	ka	148, 231	1>V	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	69	RAIN	àmẹ̀ rọọn	149	V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	70	BE A HUNTER	no verbal counterpart	150, 151	N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
