Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Abstract subject	Accidental Body-part	Accidental Reflexive	Assisting Body-part	Benefactive	Causative-Inchoative	Cognate Object	Conative	Dative	Direct Quotation	Directed Nonverbal Expression	Experiencer Passive with of-Stimulus	Gerundive complement	Get-a-VP(nominal)	Have-a-VP(nominal)	Inchoative-Causative	Instrumental Object	Instrumental Subject	Into-Resultative	Location-capacity subject	Locative	Locative promotion	Locus of personal contact	Malefactive	Middle	Path subject	Possessor ascension	Quasi-agentive Instrumental Subject	Quasi-benefactive-accompaniment with	Reciprocal	Resultative complement	Source-of-part	Stimulus prepositional object	Stimulus Subject	That-complement	To-complement	Topic-about	Understood Omitted Object	Understood Reflexive Object	Way-construction	Wh-complement	With/against alternation
English	19	ASK FOR	ask	256, 257, 258, 412	1-nom > V.subj[1] (> 2-acc) > for+3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	20	SHOUT AT	shout	57, 58, 59, 60, 61, 62	1-nom > V.subj[1] > at+2	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	21	TELL	tell	251, 252, 253, 254, 255	1-nom > V.subj[1] > 2-acc > 3	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never
English	22	SAY	say	63, 64, 65, 66, 67, 68, 69, 443, 444	1-nom > V.subj[1] > 2-acc (> to+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
English	23	NAME	call	244, 245, 246, 247, 248, 249	1-nom > V.subj[1] > 2-acc > 3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	23	NAME	name	250	1-nom > V.subj[1] > 2-acc > 3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	24	BUILD	build	146, 147	1-nom > V.subj[1] > 2-acc (> from+3)	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	25	BREAK	break	138, 139, 140, 141, 142, 143, 144, 145	1-nom > V.subj[1] > 2-acc (> with+3)	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	26	KILL	kill	98, 99, 100, 101	1-nom > V.subj[1] > 2-acc (> with+3)	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
English	27	BEAT	beat	136, 137	1-nom > V.subj[1] > 2-acc (> with+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Marginally
