Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Anticausative with /rasar/	Causative	DO passive	IO passive	Lexical argument decreasing alternation	Lexical argument increasing alternation	Potential (ability)	potential (property)
Hokkaido Japanese	46	BLINK	mabataki=o su-ru	245, 246	1-nom V	Never	Marginally	Never	Never	Never	Never	Never	Never
Hokkaido Japanese	47	COUGH	seki=o su-ru	247, 248	1-nom V	Never	Marginally	Never	Never	Never	Never	Never	Never
Hokkaido Japanese	48	CLIMB	nobor-u	249, 250, 251	1-nom 2-dat V	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	48	CLIMB	nobor-u (2)	252, 253, 254	1-nom 2-acc V	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	49	RUN	hasir-u	255, 256, 257	1-nom V	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	50	SIT											
Hokkaido Japanese	51	SIT DOWN	suwar-u	258, 259, 260	1-nom V	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	51	SIT DOWN	kosikake-ru	261, 262, 263	1-nom 2-dat V	No data	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	52	JUMP	hane-ru	264, 265, 266	1-nom V	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	53	SING	uta(w)-u	268, 267, 269, 270, 271	1-nom 2-acc V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	54	GO	ik-u	272, 273, 274	1-nom 2-dat V	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	55	LEAVE	de-te ik-u	275, 276, 277	1-nom 2-acc V	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	56	LIVE	sum-u	278, 279, 280, 281	1-nom 2-dat V	Never	Regularly	Never	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	57	LAUGH	wara(w)-u	282, 283, 284, 285, 286	1-nom V	Never	Regularly	Regularly	Never	Never	Regularly	Regularly	Regularly
Hokkaido Japanese	58	SCREAM	sakeb-u	287, 288, 289	1-nom V	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	59	FEEL PAIN	ita-i/itam-u	290, 291	1-nom 2-nom V	Never	Never	Never	Never	Never	Regularly	Never	Never
Hokkaido Japanese	60	FEEL COLD	samugar-u	292, 293	1-nom V	Never	Regularly	Never	Never	Never	Never	Never	Never
Hokkaido Japanese	61	DIE	sin-u	294, 295, 296	1-nom V	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	62	PLAY	asob-u	297, 298, 299	1-nom V	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	63	BE SAD	kanasi-i	300	1-nom V	Never	Never	Never	Never	Never	Never	Never	Never
Hokkaido Japanese	64	BE HUNGRY	onaka=ga her-u	304, 305	1-nom V	Never	Never	Never	Never	Never	Regularly	Never	Never
Hokkaido Japanese	64	BE HUNGRY	onaka=o sukase-ru	306	1-nom V	Never	No data	Never	Never	Regularly	Never	Never	Never
Hokkaido Japanese	65	ROLL	korogar-u	307, 308, 309, 310	1-nom V	Never	Regularly	Regularly	Never	Never	Regularly	Regularly	Regularly
Hokkaido Japanese	66	SINK	sizum-u	315, 316, 317, 318	1-nom V	Regularly	Regularly	Never	Never	Never	Regularly	Never	Never
Hokkaido Japanese	67	BURN	yake-ru	322, 323	1-nom V	Never	Never	Never	Never	Never	Regularly	Never	Never
Hokkaido Japanese	67	BURN	moe-ru	335, 337, 339	1-nom V	Never	Never	Never	Never	Never	Regularly	Regularly	Never
Hokkaido Japanese	68	BE DRY	kawak-u	341, 343, 345, 347, 349, 351	1-nom V	Regularly	Marginally	Regularly	Never	Never	Regularly	Regularly	Regularly
Hokkaido Japanese	69	RAIN	ame=ga hur-u	352, 353	1-nom V	Never	Regularly	Never	Never	Never	Never	No data	No data
Hokkaido Japanese	70	BE A HUNTER	karyu:do=da	354	1-nom V	Never	Never	Never	Never	Never	Never	Never	Never
Hokkaido Japanese	71	GRIND	sur-u	355, 356, 357, 358, 359	1-nom 2-acc V	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	72	WIPE	huk-u	360, 362, 363, 364, 365, 340	1-nom 2-acc V	Regularly	Regularly	Marginally	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	72	WIPE	huk-u (2)	361, 338, 420, 421, 422, 423	1-nom 2-acc V	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	73	DIG	hor-u (1)	366, 367, 368, 369, 370, 342, 344, 346, 348, 350	1-nom 2-acc V	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	73	DIG	hor-u (2)	371, 372, 373, 374	1-nom 2-acc V	Regularly	Regularly	Never	Never	Never	Never	Regularly	Never
Hokkaido Japanese	74	PUSH	os-u	375, 376, 377, 378	1-nom 2-acc V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	74	PUSH	os-u (2)	379, 380, 381, 382, 383, 384	1-nom 2-acc V	Regularly	Regularly	Marginally	Regularly	Never	Never	Regularly	Regularly
Hokkaido Japanese	75	BRING	motteik-u	385, 386, 387, 388, 389	1-nom 2-dat 3-acc V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	76	STEAL	nusum-u	390, 391, 392, 393, 394	1-nom 2-acc V	Marginally	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	77	TEACH	osie-ru	395, 396, 397, 398, 399	1-nom 2-dat 3-acc V	Never	Regularly	Regularly	Regularly	Regularly	Never	Regularly	Never
Hokkaido Japanese	78	HEAR	kikoe-ru	400, 401	1-nom 2-dat V	Never	Never	Never	Never	Never	Regularly	Never	Never
Hokkaido Japanese	79	COOK	ryo:ri su-ru	402, 403, 404, 405	1-nom 2-acc V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	80	BOIL	wak-u	406, 407, 408	1-nom V	Regularly	Never	Never	Never	Never	Regularly	Never	Never
