Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Mitsukaido Japanese	39		Ore arenge amakkonge kimono kiseraseda.		ore are=nge amakko=nge kimono kise-rase-da	1sg.NOM 3sg=DAT girl=DAT kimono dress-CAUS-PST	I made her/him dress the girl in a kimono.
Mitsukaido Japanese	40		Amakko kimono kjta.		amakko kimono kj-ta	girl.NOM kimono.ACC wear-PST	The girl wore a kimono.
Mitsukaido Japanese	41		Arengani mmagu kimono kiserareru.		are=ngani mmagu kimono kise-rare-ru	3sg=EXP well.ADV kimono.ACC dress-POT-NPST	She/he can dress (someone) in a kimono well.
Mitsukaido Japanese	42		Are hinge sutta.		are hinge sut-ta	3sg.NOM mustache.ACC shave-PST	He shaved his beard.
Mitsukaido Japanese	43		Ore arenge hinge suraseda.		ore are=nge hinge sur-ase-da	1sg.NOM 3sg=DAT mustache.ACC shave-CAUS-PST	I made him shave his beard.
Mitsukaido Japanese	44		Arengani mmagu hinge sureru.		are=ngani mmagu hinge sur-e-ru	3sg=EXP well.ADV mustache.ACC shave-POT-NPST	He can shave his beard well.
Mitsukaido Japanese	45		Are amakkogodo taskeda.		are amakko=godo taske-da	3sg.NOM girl=ACC help-PST	She/he helped a girl.
Mitsukaido Japanese	46		Ore arenge amakkogodo taskeraseda.		ore are=nge amakko=godo taske-rase-da	1sg.NOM 3sg=DAT girl=ACC help-CAUS-PST	I made her/him help the girl.
Mitsukaido Japanese	47		Amakko taskatta.		amakko taskat-ta	girl.NOM be.helped-PST	A girl was helped.
Mitsukaido Japanese	48		Amakko areni taskerareda.		amakko are=ni taske-rare-da	girl.NOM 3sg=LOC help-PASS-PST	The girl was helped by her/him.
Mitsukaido Japanese	49		Arenganiwa amakkogodo taskerarebe:.		are=ngani=wa amakko=godo taske-rare-be:	3sg=EXP=TOP girl=ACC help-POT-may	She/he can help the girl.
Mitsukaido Japanese	50		Ore amakkonge skeda.		ore amakko=nge ske-da	1sg.NOM girl=DAT help-PST	I helped the girl.
Mitsukaido Japanese	51		Ore aregodo amakkonge skeraseda.		ore are=godo amakko=nge ske-rase-da	1sg.NOM 3sg=ACC girl=DAT help-CAUS-PST	I made her/him help the girl.
Mitsukaido Japanese	52		Ore areni skerareda.		ore are=ni ske-rare-da	1sg.NOM 3sg=LOC help-PASS-PST	I was helped by her/him.
Mitsukaido Japanese	53		Arenganiwa amakkonge skerarebe:.		are=ngani=wa amakko=nge ske-rare-be:	3sg=EXP=TOP girl=DAT help-POT-may	She/he can help the girl.
Mitsukaido Japanese	54		Amakko odogogodo okkageda.		amakko odogo=godo okkage-da	girl.NOM man=ACC follow-PST	The girl followed the man.
Mitsukaido Japanese	55		Ore amakkonge odogogodo okkageraseda.		ore amakko=nge odogo=godo okkage-rase-da	1sg.NOM girl=DAT man=ACC follow-CAUS-PST	I made the girl follow the man.
Mitsukaido Japanese	56		Odogo amakkoni okkagerareda.		odogo amakko=ni okkage-rare-da	man.NOM girl=LOC follow-PASS-PST	The man was followed by the girl.
Mitsukaido Japanese	57		Ano amakkonganja ano odogogodo okkagerareru.		ano amakko=nganja ano odogo=godo okkage-rare-ru	that girl=EXP.TOP that man=ACC follow-POT-NPST	That girl can follow that man.
Mitsukaido Japanese	58		Amakko arenge tuedetta.		amakko are=nge tuedet-ta	girl.NOM 3sg=DAT follow-PST	The girl followed her/him.
Mitsukaido Japanese	59		Ore amakkogodo arenge tuede engaseda.		ore amakko=godo are=nge tuede_eng-ase-da	1sg.NOM girl=ACC 3sg=DAT follow-CAUS-PST	I made the girl follow her/him.
Mitsukaido Japanese	60		Are amakkoni tuede korareda.		are amakko=ni tuede_ko-rare-da	3sg.NOM girl=LOC follow-PASS-PST	She/he was followed by the girl.
Mitsukaido Japanese	61		Ore ano amakkoni egiattajo.		ore ano amakko=ni egiat-ta=jo	1sg.NOM that girl=LOC meet-PST=F	I met that girl.
Mitsukaido Japanese	62		Ore aregodo amakkoni egia:seda.		ore are=godo amakko=ni egia:se-da	1sg.NOM 3sg=ACC girl=LOC meet.CAUS-PST	I made her/him meet the girl.
Mitsukaido Japanese	63		Arengani amakkodo egiaeru.		are=ngani amakko=do egia-e-ru	3sg=EXP girl=COM meet-POT-NPST	She/he can meet the girl.
Mitsukaido Japanese	64		Are ano jarokkonge ano amakkogodo hanasjta.		are ano jarokko=nge ano amakko=godo hanasj-ta	3sg.NOM that boy=DAT that girl=ACC talk-PST	She/he talked to that boy about that girl.
Mitsukaido Japanese	65		Ore arenge ano jarokkonge ano amakkogodo hanasaseda.		ore are=nge ano jarokko=nge ano amakko=godo hanas-ase-da	1sg.NOM 3sg=DAT that boy=DAT that girl=ACC talk-CAUS-PST	I made her/him talk to that boy about that girl.
Mitsukaido Japanese	66		Ano jarokko ano amakkogodo areni hanasareda.		ano jarokko ano amakko=godo are=ni hanas-are-da	that boy.NOM that girl=ACC 3sg=LOC talk-PASS-PST	That boy was told about that girl by her/him.
Mitsukaido Japanese	67		Arengani ano jarokkonge ano amakkogodo hanaseru.		are=ngani ano jarokko=nge ano amakko=godo hanas-e-ru	3sg=EXP that boy=DAT that girl=ACC talk-POT-NPST	She/he can talk to that boy about that girl.
Mitsukaido Japanese	68		Ano jarokko arenge tema se:sogu sjta.		ano jarokko are=nge tema se:sogu sj-ta	that boy.NOM 3sg=DAT wage.ACC ask for-PST	That boy asked her/him for the wage.
Mitsukaido Japanese	69		Ore ano jarokkonge arenge tema se:sogu saseda.		ore ano jarokko=nge are=nge tema se:sogu s-ase-da	1sg.NOM that boy=DAT 3sg=DAT wage ask for-CAUS-PST	I made that boy ask her/him for the wage.
Mitsukaido Japanese	70		Are ano jarokkoni tema se:sogu sareda.		are ano jarokko=ni tema se:sogu s-are-da	3sg.NOM that boy=LOC wage.ACC ask for-PASS-PST	She/he was asked for the wage by that boy.
Mitsukaido Japanese	71		Ano jarokkongani arenge tema se:sogu degiru.		ano jarokko=ngani are=nge tema se:sogu degi-ru	that boy=EXP 3sg=DAT wage.ACC ask_for can-NPST	That boy can ask her/him for the wage.
Mitsukaido Japanese	72		Ore kodomonge mugasino kodo hanasjta.		ore kodomo=nge mugasi=no kodo hanasj-ta	1sg.NOM child=DAT past=GEN thing.ACC tell-PST	I told the child an old story.
Mitsukaido Japanese	73		Ano basamangani mugasino kodo u:nto sittekkara hanaseru.		ano basama=ngani mugasi=no kodo u:nto sit-te-k=kara hanas-e-ru	that old_lady=EXP past=GEN thing.ACC many know-GER.be-NPST=because tell-POT-NPST	That old lady can tell a story because she knows many old stories.
Mitsukaido Japanese	74		Ano jaro ano amakkonge nanimo sjabeNnagatta.		ano jaro ano amakko=nge nanimo sjaben-nagat-ta	that man.NOM that girl=DAT anything.ACC say.IRR-NEG-PST	That boy did not say anything to that girl.
Mitsukaido Japanese	75		Are ano jaronge ano amakkonge sore sjaberaseda.		are ano jaro=nge ano amakko=nge sore sjaber-ase-da	3sg.NOM that man=DAT that girl=DAT that.ACC say-CAUS-PST	She/he made that boy say it to that girl.
Mitsukaido Japanese	76		Ano amakko ano jaroni nanimo iwarenagatta.		ano amakko ano jaro=ni nanimo iw-are-nagat-ta	that girl.NOM that man=LOC anything.ACC say-PASS-NEG-PST	That girl was not told anything by that boy.
Mitsukaido Japanese	77		Arengani nanimo sjaberenagatta.		are=ngani nanimo sjaber-e-nagat-ta	3sg=EXP anything.ACC say-POT-NEG-PST	She/he could not say anything.
Mitsukaido Japanese	78		Ano amakko hono jarokkogodo taro:tte jobatta.		ano amakko hono jarokko=godo taro:=tte jobat-ta	that girl.NOM that boy=ACC Taro=CIT call-PST	That girl called that boy Taro.
Mitsukaido Japanese	79		Ano jarokko minnange zibungodo taro:tte jobasedendado.		ano jarokko minna=nge zibun=godo taro:=tte job-ase-de-n=da=do	that boy.NOM all=DAT self=ACC Taro=CIT call-CAUS-GER.be-NPST.NMNLZ=COP=F	That boy makes everybody call him Taro.
Mitsukaido Japanese	80		Ano jaro taro:tte jobarederu.		ano jaro taro:=tte job-are-de-ru	that man.NOM Taro=CIT call-PASS-GER.be-NPST	The man is called Taro.
Mitsukaido Japanese	81		Arenganja omegodo name:de jobeppena.		are=nganja ome=godo name:=de job-e-p-pe=na	3sg=EXP.TOP 2sg=ACC first_name=INST call-POT-NPST-may=F	She/he may be able to call you by your first name.
Mitsukaido Japanese	82		Ore uzi tadeda.		ore uzi tade-da	1sg.NOM house.ACC build-PST	I built a house.
Mitsukaido Japanese	83		Ore arenge uzi taderaseda.		ore are=nge uzi tade-rase-da	1sg.NOM 3sg=DAT house.ACC build-CAUS-PST	I made her/him build the house.
Mitsukaido Japanese	84		Uzi tatta.		uzi tat-ta	house.NOM be.built-PST	The house was built.
Mitsukaido Japanese	85		Orengani uzi taderareru.		ore=ngani uzi tade-rare-ru	1sg=EXP house.ACC build-POT-NPST	I can build a house.
Mitsukaido Japanese	86		Jarokko garasumado bukkowasjta.		jarokko garasumado bukkowasj-ta	boy.NOM glass_window.ACC break-PST	The boy broke a window.
Mitsukaido Japanese	87		Are jarokkonge garasumado bukkowasaseda.		are jarokko=nge garasumado bukkowas-ase-da	3sg.NOM boy=DAT glass_window.ACC break-CAUS-PST	She/he made the boy break a window.
Mitsukaido Japanese	88		Garasumado bukkowareda.		garasumado bukkoware-da	glass_window.NOM break-PST	The window broke.
Mitsukaido Japanese	89		Jarokkoni garasumado bukkowasareda.		jarokko=ni garasumado bukkowas-are-da	boy=LOC glass_window.NOM break-PASS-PST	The window was broken by the boy.
Mitsukaido Japanese	90		Ano jaronganja garasumado bukkowaseme:.		ano jaro=nganja garasumado bukkowas-e-me:	that man=EXP.TOP glass_window.ACC break-POT-may_not	That man may not be able to break a window.
Mitsukaido Japanese	91		Jarokko bo:de hebigodo korosjta.		jarokko bo:=de hebi=godo korosj-ta	boy.NOM stick=INST snake=ACC kill-PST	The boy killed a snake with a stick.
Mitsukaido Japanese	92		Ore jarokkonge hebigodo korosaseda.		ore jarokko=nge hebi=godo koros-ase-da	1sg.NOM boy=DAT snake=ACC kill-CAUS-PST	I made the boy kill a snake.
Mitsukaido Japanese	93		Hebi jarokkoni korosareda.		hebi jarokko=ni koros-are-da	snake.NOM boy=LOC kill-PASS-PST	The snake was killed by the boy.
Mitsukaido Japanese	94		Ano jarokkonganja hebigodo koroseru.		ano jarokko=nganja hebi=godo koros-e-ru	that boy=EXP.TOP snake=ACC kill-POT-NPST	That boy can kill a snake.
Mitsukaido Japanese	95		Jarokko sjo:zi sjttsaettjatta.		jarokko sjo:zi sjttsae-ttjat-ta	boy.NOM shoji_screen.ACC break-PERF-PST	The boy ripped a shoji screen.
Mitsukaido Japanese	96		Ore jarokkonge sjo:zi sjttsagaseda.		ore jarokko=nge sjo:zi sjttsag-ase-da	1sg.NOM boy=DAT shoji_screen.ACC break-CAUS-PST	I made the boy rip the shoji screen.
Mitsukaido Japanese	97		Sjo:zi sjttsageda.		sjo:zi sjttsage-da	shoji_screen.NOM break-PST	The shoji screen ripped.
Mitsukaido Japanese	98		Jarokkoni sjo:zi sjttsagareda.		jarokko=ni sjo:zi sjttsag-are-da	boy=LOC shoji_screen.NOM break-PASS-PST	The shoji screen was ripped by the boy.
Mitsukaido Japanese	99		Ano jarokkonganja sjo:zi sjttsagu godo degiru.		ano jarokko=nganja sjo:zi sjttsag-u godo degi-ru	that boy=EXP.TOP shoji_screen.ACC break-POT thing.ACC can-NPST	That boy can rip a shoji screen.
Mitsukaido Japanese	100		Jarokko bo:de hebigodo buttadaeda.		jarokko bo:=de hebi=godo buttadae-da	boy.NOM stick=INST snake=ACC hit-PST	The boy hit a snake with a stick.
Mitsukaido Japanese	101		Ore jarokkonge bo:de hebigodo buttadagaseda.		ore jarokko=nge bo:=de hebi=godo buttadag-ase-da	1sg.NOM boy=DAT stick=INST snake=ACC hit-CAUS-PST	I made the boy hit a snake with a stick.
Mitsukaido Japanese	102		Hebi jarokkoni buttadagareda.		hebi jarokko=ni buttadag-are-da	snake.NOM boy=LOC hit-PASS-PST	The snake was hit by the boy.
Mitsukaido Japanese	103		Ano jarokkonganja hebigodo buttadageru.		ano jarokko=nganja hebi=godo buttadag-e-ru	that boy=EXP.TOP snake=ACC hit-POT-NPST	That boy can hit a snake.
Mitsukaido Japanese	104		Ore ano jarogodo bukkurasjte jakkara.		ore ano jaro=godo bukkurasj-te jak=kara	1sg.NOM that man=ACC hit-GER give.NPST=because	I hit that man.
Mitsukaido Japanese	105		Ore arenge ano jarogodo bukkurasaseda.		ore are=nge ano jaro=godo bukkuras-ase-da	1sg.NOM 3sg=DAT that man=ACC hit-CAUS-PST	I made her/him hit that man.
Mitsukaido Japanese	106		Ore ano jaroni bukkuraserareda.		ore ano jaro=ni bukkurase-rare-da	1sg.NOM that man=LOC hit-PASS-PST	I was hit by that man.
Mitsukaido Japanese	107		Arenganja aregodo bukkuraserammena.		are=nganja are=godo bukkurase-ram-me=na	3sg=EXP.TOP 3sg=ACC hit-POT-may_not=F	She/he may not be able to hit her/him.
Mitsukaido Japanese	108		Jaronga adama bukkurasjte jakka?		jaro=nga adama bukkurasj-te jak=ka	man=POS head.ACC hit-GER give.NPST=Q	Did (someone) hit the man's head?
Mitsukaido Japanese	109		Jarogodo adama bukkurasjte jakka?		jaro=godo adama bukkurasj-te jak=ka	man=ACC head.ACC hit-GER give.NPST=Q	Did (someone) hit the man on the head?
Mitsukaido Japanese	110		Jarokko bo:de hebigodo sa:tta.		jarokko bo:=de hebi=godo sa:t-ta	boy.NOM stick=INST snake=ACC touch-PST	The boy touched a snake with a stick.
Mitsukaido Japanese	111		Ore jarokkonge hebigodo sa:raseda.		ore jarokko=nge hebi=godo sa:r-ase-da	1sg.NOM boy=DAT snake=ACC touch-CAUS-PST	I made the boy touch a snake.
Mitsukaido Japanese	112		Hebi jarokkoni sa:rareda.		hebi jarokko=ni sa:r-are-da	snake.NOM boy=LOC touch-PASS-PST	The snake was touched by a boy.
Mitsukaido Japanese	113		Ano jarokkonganja hebigodo sa:reru.		ano jarokko=nganja hebi=godo sa:r-e-ru	that boy=EXP.TOP snake=ACC touch-POT-NPST	That boy can touch a snake.
Mitsukaido Japanese	114		Jarokko bo:de hebinge sa:tta.		jarokko bo:=de hebi=nge sa:t-ta	boy.NOM stick=INST snake=DAT touch-PST	The boy touched a snake with a stick.
Mitsukaido Japanese	115		Ore jarokkogodo hebinge sa:raseda.		ore jarokko=godo hebi=nge sa:r-ase-da	1sg.NOM boy=ACC snake=DAT touch-CAUS-PST	I made the boy touch a snake.
Mitsukaido Japanese	116		Ano jarokkonganja hebinge sa:reru.		ano jarokko=nganja hebi=nge sa:r-e-ru	that boy=EXP.TOP snake=DAT touch-POT-NPST	That boy can touch a snake.
Mitsukaido Japanese	117		Jarokko ho:tsjode de:ko kitta.		jarokko ho:tsjo=de de:ko kit-ta	boy.NOM knife=INST radish.ACC cut-PST	The boy cut a radish with a knife.
Mitsukaido Japanese	118		Ore jarokkonge de:ko kiraseda.		ore jarokko=nge de:ko kir-ase-da	1sg.NOM boy=DAT radish.ACC cut-CAUS-PST	I made the boy cut a radish.
Mitsukaido Japanese	119		Oratsjino jaroni ki: kirarettsjitta.		oratsji=no jaro=ni ki: kir-are-ttsjit-ta	my_home=GEN boy=LOC tree.NOM cut-PASS-PERF-PST	The tree was cut by my son.
Mitsukaido Japanese	120		Oratsjino jaronganja de:ko kireru.		oratsji=no jaro=nganja de:ko kir-e-ru	my_home=GEN boy=EXP.TOP radish.ACC cut-POT-NPST	My son can cut a radish.
Mitsukaido Japanese	121		Jarokko amakkogara pen hindagutta.		jarokko amakko=gara pen hindagut-ta	boy.NOM girl=ABL pen.ACC take-PST	The boy took a pen from the girl.
Mitsukaido Japanese	122		Ore jarokkonge amakkogara pen hindaguraseda.		ore jarokko=nge amakko=gara pen hindagur-ase-da	1sg.NOM boy=DAT girl=ABL pen.ACC take-CAUS-PST	I made the boy take a pen from the girl.
Mitsukaido Japanese	123		Amakko jarokkoni pen hindagurareda.		amakko jarokko=ni pen hindagur-are-da	girl.NOM boy=LOC pen.ACC take-PASS-PST	The girl had her pen taken by the boy.
Mitsukaido Japanese	124		Ano jarokkongani pen hindagureru.		ano jarokko=ngani pen hindagur-e-ru	that boy=EXP pen.ACC take-POT-NPST	That boy can take a pen.
Mitsukaido Japanese	125		Jarokko kigara kagi mongitta.		jarokko ki=gara kagi mongit-ta	boy.NOM tree=ABL persimmon.ACC take-PST	The boy picked a persimmon from a tree.
Mitsukaido Japanese	126		Ore jarokkonge kigara kagi mongiraseda.		ore jarokko=nge ki=gara kagi mongir-ase-da	1sg.NOM boy=DAT tree=ABL persimmon.ACC take-CAUS-PST	I made the boy pick a persimmon from a tree.
Mitsukaido Japanese	127		Omengani ueno ho:na kagi mongireppena?		ome=ngani ue=no ho:=na kagi mongir-e-p-pe=na	2sg=EXP above=GEN around=ADNLOC persimmon.ACC take-POT-NPST-may=F	Can you pick a persimmon from the upper part of the tree?
Mitsukaido Japanese	128		Amakko honno pe:zi hittsabaeda.		amakko hon=no pe:zi hittsabae-da	girl.NOM book=GEN page.ACC tear-PST	The girl tore the page from the book.
Mitsukaido Japanese	129		Ore amakkonge honno pe:zi hittsbagaseda.		ore amakko=nge hon=no pe:zi hittsbag-ase-da	1sg.NOM girl=DAT book=GEN page.ACC tear-CAUS-PST	I made the girl tear the page from the book.
Mitsukaido Japanese	130		Amakkongani honno pe:zi hittsabageru.		amakko=ngani hon=no pe:zi hittsabag-e-ru	girl=EXP book=GEN page.ACC tear-POT-NPST	The girl can tear the page from the book.
Mitsukaido Japanese	131		Amakko emono ka: mueda.		amakko emo=no ka: mue-da	girl.NOM potato=GEN skin.ACC peel-PST	The girl peeled the potato.
Mitsukaido Japanese	132		Ore amakkonge emono ka: mugaseda.		ore amakko=nge emo=no ka: mug-ase-da	1sg.NOM girl=DAT potato=GEN skin.ACC peel-CAUS-PST	I made her/him peel the potato.
Mitsukaido Japanese	133		Arengani mmagu emono ka: mugeru.		are=ngani mmagu emo=no ka: mug-e-ru	3sg=EXP well.ADV potato=GEN skin.ACC peel-POT-NPST	She/he can peel the potato well.
Mitsukaido Japanese	134		Ano amakko sense:nga hon kagusjta.		ano amakko sense:=nga hon kagusj-ta	that girl.NOM teacher=POS book.ACC hide-PST	That girl hid the teacher's book.
Mitsukaido Japanese	135		Ore ano amakkonge sense:nga hon kagusaseda.		ore ano amakko=nge sense:=nga hon kagus-ase-da	1sg.NOM that girl=DAT teacher=POS book.ACC hide-CAUS-PST	I made that girl hide the teacher's book.
Mitsukaido Japanese	136		Sense: ano amakkoni hon kagusareda.		sense: ano amakko=ni hon kagus-are-da	teacher.NOM that girl=LOC book.ACC hide-PASS-PST	The teacher's book was hidden by that girl.
Mitsukaido Japanese	137		Ano amakkonganja hon kakusebena.		ano amakko=nganja hon kakus-e-be=na	that girl=EXP.TOP book.ACC hide-POT-may=F	That girl may be able to hide the book.
Mitsukaido Japanese	138		Amakko sense:nge sjkudae miseda.		amakko sense:=nge sjkudae mise-da	girl.NOM teacher=DAT homework.ACC show-PST	The girl showed the homework to the teacher.
Mitsukaido Japanese	139		Ore amakkonge sense:nge odomegodo miseraseda.		ore amakko=nge sense:=nge odome=godo mise-rase-da	1sg.NOM girl=DAT teacher=DAT baby=ACC show-CAUS-PST	I made the girl show a baby to the teacher.
Mitsukaido Japanese	140		Sense: sjkudae mida.		sense: sjkudae mi-da	teacher.NOM homework.ACC see-PST	The teacher saw the homework.
Mitsukaido Japanese	141		Sense: amakkoni sjkudae miserareda.		sense: amakko=ni sjkudae mise-rare-da	teacher.NOM girl=LOC homework.ACC show-PASS-PST	The teacher was shown the homework by the girl.
Mitsukaido Japanese	142		Ano amakkonganja sense:nge sjkudae mise-{rare/re}-ru.		ano amakko=nganja sense:=nge sjkudae mise-{rare/re}-ru	that girl=EXP.TOP teacher=DAT homework.ACC show-POT-NPST	The girl can show the homework to the teacher.
Mitsukaido Japanese	143		Sense: orenge hon kureda.		sense: ore=nge hon kure-da	teacher.NOM 1sg=DAT book.ACC give-PST	The teacher gave me a book.
Mitsukaido Japanese	144		Ore sengarenge hon jatta.		ore sengare=nge hon jat-ta	1sg.NOM son=DAT book.ACC give-PST	I gave a book to my son.
Mitsukaido Japanese	145		Musumekko kjogugara sense:nge hon ogutta.		musumekko kjogu=gara sense:=nge hon ogut-ta	girl.NOM post_office=ABL teacher=DAT book.ACC send-PST	The girl sent a book to the teacher from the post office.
Mitsukaido Japanese	146		Ore musumekkonge hon sense:nge oguraseda.		ore musumekko=nge hon sense:=nge ogur-ase-da	1sg.NOM girl=DAT book.ACC teacher=DAT send-CAUS-PST	I made the girl send a book to the teacher.
Mitsukaido Japanese	147		Sense: musumekkogara hon ogurareda.		sense: musumekko=gara hon ogur-are-da	teacher.NOM girl=ABL book.ACC send-PASS-PST	The teacher was sent a book by the girl.
