Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Benefactive	Causative	Locative/absolutive alternation	Passive participle	Reciprocal	Reciprocal ambitransitivity	Reflexive	S/A detransitivisation	S/P ambitransitivity	Theme alternation
Chintang	47	COUGH	chuŋs	75	1-abs V.subj[1]	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never
Chintang	48	CLIMB	sopt	76	1-erg 2-abs V.agt[1].obj[2]	Marginally	Marginally	Never	Marginally	Never	Never	Never	Regularly	Never	Never
Chintang	49	RUN	pind	77	1-abs V.subj[1]	Marginally	Regularly	Marginally	Never	Never	Never	Never	Never	Never	Never
Chintang	50	SIT	yuŋ	78, 79, 86, 149, 168	1-abs 2-loc V.subj[1]	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never
Chintang	51	SIT DOWN	yuŋ	78, 79, 86, 149, 168	1-abs 2-loc V.subj[1]	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never
Chintang	52	JUMP	tand	80, 170	1-abs 2-loc V.subj[1]	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Chintang	53	SING	cham lus	81, 82	1-erg 2-abs V.agt[1].obj[2]	Marginally	Regularly	Never	Marginally	Never	Never	Never	Regularly	Never	Never
Chintang	54	GO	khat	83, 84	1-abs 2-loc V.subj[1]	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never
Chintang	55	LEAVE	khat (2)	85	1-abs V.subj[1]	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never
Chintang	56	LIVE	yuŋ	78, 79, 86, 149, 168	1-abs 2-loc V.subj[1]	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never
Chintang	57	LAUGH													
Chintang	58	SCREAM	ratt (2)	35, 89	1-abs V.subj[1]	Marginally	Regularly	Never	Marginally	Marginally	Never	Marginally	Never	Never	Never
Chintang	59	FEEL PAIN	tuk	90	1-abs V.subj[1]	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never
Chintang	60	FEEL COLD	cuŋwa si	91	1-abs V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Chintang	61	DIE	si	92	1-abs V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Chintang	62	PLAY	khoŋs	93, 94, 95	1-erg 2-abs V.agt[1].obj[2]	Marginally	Marginally	Never	Marginally	Never	Never	Never	Regularly	Never	Never
Chintang	63	BE SAD	micinɨŋ tuk	96	1-abs V.subj[1]	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never
Chintang	63	BE SAD	som tuk	97	1-abs V.subj[1]	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never
Chintang	64	BE HUNGRY	sɨŋsawa si	98	1-abs V.subj[1]	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never
Chintang	65	ROLL													
Chintang	66	SINK													
Chintang	67	BURN													
Chintang	68	BE DRY													
Chintang	69	RAIN	weiʔ ta	107	V	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never
Chintang	70	BE A HUNTER	kaʔappa	142	1-abs V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Chintang	71	GRIND	cemd	108, 109, 139, 140	1-erg 2-abs 3-erg V.agt[1].obj[2]	Marginally	Marginally	Never	Marginally	Marginally	Never	Marginally	Regularly	Marginally	Never
Chintang	72	WIPE	tɨk	110	1-erg 2-abs V.agt[1].obj[2]	Regularly	Marginally	Never	Marginally	Marginally	Never	Never	Regularly	Never	Never
Chintang	73	DIG	phol	112	1-erg 2-abs V.agt[1].obj[2]	Marginally	Marginally	Never	Marginally	Never	Never	Never	Regularly	Never	Never
Chintang	73	DIG	tus	111, 113	1-erg 2-abs V.agt[1].obj[2]	Marginally	Marginally	Never	Marginally	Never	Never	Never	Regularly	Never	Never
Chintang	74	PUSH	tol	114, 115	1-erg 2-abs V.agt[1].obj[2]	Marginally	Marginally	Never	Marginally	Marginally	Never	Marginally	Regularly	Never	Never
Chintang	75	BRING	khutt	52, 61, 166	1-erg 2-abs 3-abs V.agt[1].obj[3]	Regularly	Regularly	Never	Marginally	Marginally	Never	Marginally	Regularly	Never	Never
Chintang	76	STEAL	khutt	52, 61, 166	1-erg 2-abs 3-abs V.agt[1].obj[3]	Regularly	Regularly	Never	Marginally	Marginally	Never	Marginally	Regularly	Never	Never
Chintang	77	TEACH	cind	116, 151	1-erg 2-abs 3-abs V.agt[1].obj[3]	Never	Marginally	Never	Marginally	Marginally	Never	Regularly	Regularly	Never	Never
Chintang	78	HEAR	khems	117, 141	1-erg 2-abs V.agt[1].obj[2]	Marginally	Regularly	Never	Marginally	Never	Never	Regularly	Regularly	Never	Never
Chintang	79	COOK	thukt	118	1-erg 2-abs V.agt[1].obj[2]	Regularly	Marginally	Never	Marginally	Never	Never	Never	Regularly	Never	Never
Chintang	80	BOIL	lokt	119, 172	1-abs V.obj[1]	Marginally	Regularly	Never	Marginally	Never	Never	Never	Never	Never	Never
