Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Causative	Deagentive	Direct object shift	Extraversive	Fientive	Incorporative	Indirect participation	Introversive	Passive	Reciprocal	Reflexive	Usative
Yucatec Maya	33	PEEL	cheppóolt	34	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Yucatec Maya	33	PEEL	lak	35, 352	sbj[1].V.obj[2] 2 1	Never	Regularly	Never	Never	Never	Never	Regularly	Marginally	Regularly	Never	Marginally	Never
Yucatec Maya	34	HIDE	ta'k	36, 169	sbj[1].V.obj[2] 2 ti'+3 1	Marginally	Never	Never	Never	Never	Never	Never	Never	Regularly	Marginally	Regularly	Never
Yucatec Maya	35	SHOW	e's	37, 170, 171, 172	sbj[1].V.obj[2] 2 ti'+3 1	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly	Regularly	Never
Yucatec Maya	36	GIVE	ts'a'	38, 45, 173, 174, 206, 348	sbj[1].V.obj[2] 2 1 LOC3	Never	Never	Never	Never	Never	Regularly	Regularly	Marginally	Regularly	Regularly	Marginally	Never
Yucatec Maya	37	SEND	túuxt	39, 175, 176, 177	sbj[1].V.obj[2] 2 1 LOC3	Never	Never	Never	Never	Never	Marginally	Marginally	Never	Regularly	Regularly	Regularly	Never
Yucatec Maya	38	CARRY	bis	40, 178	sbj[1].V.obj[2] 2 1 LOC3	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Marginally	Never	Never
Yucatec Maya	39	THROW	pul	41, 42, 43, 179, 181	sbj[1].V.obj[2] 2 1 LOC3	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Regularly	Never
Yucatec Maya	39	THROW	ch'in	87, 180, 250, 251	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Regularly	Never	Marginally	Regularly	Regularly	Never	Never
Yucatec Maya	40	TIE	k'ax	44, 182, 183, 282	sbj[1].V.obj[2] 2 (ti'+3) (yéetel+4) 1	Never	Regularly	Never	Never	Never	Marginally	Never	Regularly	Regularly	Regularly	Regularly	Never
Yucatec Maya	41	PUT	ts'a'	38, 45, 173, 174, 206, 348	sbj[1].V.obj[2] 2 1 LOC3	Never	Never	Never	Never	Never	Regularly	Regularly	Marginally	Regularly	Regularly	Marginally	Never
Yucatec Maya	42	POUR	t'oh	47	sbj[1].V.obj[2] 2 1 LOC3	Never	No data	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never
Yucatec Maya	42	POUR	láal	46, 184, 185, 186	sbj[1].V.obj[2] 2 1 LOC3	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Marginally	Never
Yucatec Maya	43	COVER	pix	48, 204	sbj[1].V.obj[2] 2 1 (yéetel+3)	Never	Regularly	Never	Never	Never	Regularly	Never	Marginally	Regularly	Marginally	Regularly	Never
Yucatec Maya	44	FILL	chup	49, 283, 316	sbj[1].V.obj[2] 2 1 (yéetel+3)	Never	Regularly	Never	Never	Never	No data	Marginally	Never	Regularly	Never	Never	Never
Yucatec Maya	44	FILL	but'	50, 51, 205, 323, 346, 357, 358	sbj[1].V.obj[2] 2 1 LOC3	Never	Regularly	Regularly	Never	Never	Marginally	Regularly	Never	Regularly	Never	Never	Never
Yucatec Maya	45	LOAD	but'	50, 51, 205, 323, 346, 357, 358	sbj[1].V.obj[2] 2 1 LOC3	Never	Regularly	Regularly	Never	Never	Marginally	Regularly	Never	Regularly	Never	Never	Never
Yucatec Maya	45	LOAD	kuch	52, 333	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never
Yucatec Maya	45	LOAD	na'ks	285, 345, 356	sbj[1].V.obj[2] 2 1 LOC3	Never	Never	Never	Never	Never	Never	Regularly	Marginally	Regularly	Regularly	Regularly	Never
Yucatec Maya	46	BLINK	chak'	53, 207, 284	sbj[1].V ti'+2 1	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never
Yucatec Maya	46	BLINK	chak'ich	53, 207, 325	sbj[1].V ti'+2 1	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	46	BLINK	chak'icht	207, 208	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never					Regularly	Regularly		
Yucatec Maya	47	COUGH	se'n	55, 209	sbj[1].V 1	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
