Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	General NP addition	General NP drop	Reciprocal alternation
Sri Lanka Malay	38	CARRY	angkath baapi	144	1 2-dat 3 V	Marginally	Regularly	No data
Sri Lanka Malay	39	THROW	buwang	6, 51	1 2-acc 3-dat V	Regularly	Regularly	No data
Sri Lanka Malay	40	TIE	ikkath (2)	4	1 2-acc 3-dat V	Marginally	Regularly	No data
Sri Lanka Malay	41	PUT	thaaro	5, 49, 145	1 2-acc LOC3 V	Marginally	Regularly	No data
Sri Lanka Malay	42	POUR	thuuwang	3, 131	1 2-acc LOC3 V	Marginally	Regularly	No data
Sri Lanka Malay	43	COVER	thuuthup	1, 48	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	44	FILL	thuuwang	3, 131	1 2-acc LOC3 V	Marginally	Regularly	No data
Sri Lanka Malay	44	FILL	punuking	2	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	45	LOAD	thaaro	5, 49, 145	1 2-acc LOC3 V	Marginally	Regularly	No data
Sri Lanka Malay	46	BLINK						
Sri Lanka Malay	47	COUGH	baathok	146	1 V	Marginally	Regularly	No data
Sri Lanka Malay	48	CLIMB	naayek	147	1 2-dat V	Marginally	Regularly	No data
Sri Lanka Malay	49	RUN	laari	26, 93	1 V	Marginally	Regularly	No data
Sri Lanka Malay	50	SIT	duuduk	40, 77, 78, 79, 148	1 LOC2 V	Marginally	Regularly	No data
Sri Lanka Malay	51	SIT DOWN	duuduk	40, 77, 78, 79, 148	1 LOC2 V	Marginally	Regularly	No data
Sri Lanka Malay	52	JUMP	lompath	27, 96	1 V	Marginally	Regularly	No data
Sri Lanka Malay	53	SING	nyaanyi	28	1 V	Marginally	Regularly	No data
Sri Lanka Malay	54	GO	pii (1)	36, 110	1 2-dat V	Marginally	Regularly	No data
Sri Lanka Malay	55	LEAVE	luppas	150	1 2 V	Marginally	Regularly	No data
Sri Lanka Malay	55	LEAVE	pii (2)	137, 149	1 2-abl V	Marginally	Regularly	No data
Sri Lanka Malay	56	LIVE	duuduk	40, 77, 78, 79, 148	1 LOC2 V	Marginally	Regularly	No data
Sri Lanka Malay	57	LAUGH						
Sri Lanka Malay	58	SCREAM	bitharak	42, 59, 60	1 V	Marginally	Regularly	No data
Sri Lanka Malay	59	FEEL PAIN	saakith	151	1 V	Marginally	Regularly	No data
Sri Lanka Malay	60	FEEL COLD	diinging	32	1-dat V	Regularly	Regularly	No data
Sri Lanka Malay	61	DIE	maathi	29, 99, 100	1 V	Marginally	Regularly	No data
Sri Lanka Malay	61	DIE	mniinggal	30	1 V	Marginally	Regularly	No data
Sri Lanka Malay	62	PLAY	maayeng	152	1 V	Marginally	Regularly	No data
Sri Lanka Malay	63	BE SAD	suusa	153	1-dat V	Marginally	Regularly	No data
Sri Lanka Malay	64	BE HUNGRY	laapar	33	1-dat V	Marginally	Never	No data
Sri Lanka Malay	65	ROLL						
Sri Lanka Malay	66	SINK	thìnggalam	46, 128	1-acc V	Marginally	Regularly	No data
Sri Lanka Malay	67	BURN	appi aràpeegang	154	1-dat V	Marginally	Regularly	No data
Sri Lanka Malay	68	BE DRY	kìrring	35	1 V	Marginally	Never	No data
Sri Lanka Malay	69	RAIN	uujang	34	V	Never	Never	No data
Sri Lanka Malay	70	BE A HUNTER	oorang neembak	37, 159	1 V	Never	Marginally	No data
Sri Lanka Malay	71	GRIND	giiling	80, 155	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	72	WIPE	saapu	156	1 2-acc 3-abl V	Regularly	Marginally	No data
Sri Lanka Malay	73	DIG	gaali	157	1 2-acc V	Marginally	Regularly	No data
Sri Lanka Malay	74	PUSH	thoolak	39, 129, 130	1 2-acc 3-dat V	Marginally	Regularly	No data
Sri Lanka Malay	75	BRING	baa(va)	7, 52	1 2-acc 3-dat V	Marginally	Regularly	No data
Sri Lanka Malay	76	STEAL	cuuri	11, 68, 69	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	77	TEACH	aajar	41, 54	1 2-dat 3 V	Marginally	Regularly	No data
Sri Lanka Malay	78	HEAR	dìnngar	44, 74, 75, 76	1-dat 2-acc V	Marginally	Regularly	No data
Sri Lanka Malay	79	COOK	maasak	43, 98	1 2-acc V	Marginally	Regularly	No data
Sri Lanka Malay	80	BOIL	mdiidi	47, 103	1 V	Marginally	Regularly	No data
