Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
German	21	TELL	erzählen	Basic	1-nom V.subj[1] 2-acc	2	told content	NP-acc	P
German	21	TELL	erzählen	Derived	1-nom V'.subj[1]	1	teller	NP-nom V.subj	
German	21	TELL	erzählen	Derived	1-nom V'.subj[1] 3-dat 2-acc	1	teller	NP-nom V.subj	
German	21	TELL	erzählen	Derived	1-nom V'.subj[1] 3-dat 2-acc	2	told content	NP-acc	
German	21	TELL	erzählen	Derived	1-nom V'.subj[1] 3-dat 2-acc	3	tellee	NP-dat	
German	21	TELL	erzählen	Derived	2-nom passV'.subj[2] (von+1-dat)	1	teller	von+NP-dat	
German	21	TELL	erzählen	Derived	2-nom passV'.subj[2] (von+1-dat)	2	told content	NP-nom V.subj	
German	22	SAY	sagen	Basic	1-nom V.subj[1] 2-acc (zu+3-dat)	1	sayer	NP-nom V.subj	A
German	22	SAY	sagen	Basic	1-nom V.subj[1] 2-acc (zu+3-dat)	2	said content	NP-acc	P
German	22	SAY	sagen	Basic	1-nom V.subj[1] 2-acc (zu+3-dat)	3	saying addressee	zu+NP-dat	X
German	22	SAY	sagen	Derived	2-nom passV'.subj[2] (von+1-dat)	1	sayer	von+NP-dat	
German	22	SAY	sagen	Derived	2-nom passV'.subj[2] (von+1-dat)	2	said content	NP-nom V.subj	
German	23	NAME	nennen	Basic	1-nom V.subj[1] 2-acc 3-acc	1	namer	NP-nom V.subj	A
German	23	NAME	nennen	Basic	1-nom V.subj[1] 2-acc 3-acc	2	namee	NP-acc	P
German	23	NAME	nennen	Basic	1-nom V.subj[1] 2-acc 3-acc	3	name	NP-acc	P
German	23	NAME	nennen	Derived	2-nom passV'.subj[2] (von+1-dat) 3-nom	1	namer	von+NP-dat	
German	23	NAME	nennen	Derived	2-nom passV'.subj[2] (von+1-dat) 3-nom	2	namee	NP-nom V.subj	
German	23	NAME	nennen	Derived	2-nom passV'.subj[2] (von+1-dat) 3-nom	3	name	NP-nom	
German	24	BUILD	bauen	Basic	1-nom V.subj[1] 2-acc	1	builder	NP-nom V.subj	A
German	24	BUILD	bauen	Basic	1-nom V.subj[1] 2-acc	2	built thing	NP-acc	P
German	24	BUILD	bauen	Derived	1-nom beV'.subj[1] 4-acc mit+2-dat	1	builder	NP-nom V.subj	
